date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:56:53	327/327	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Oct%202019%2014:55:47%20GMT	http://www.northsidepulmonary.com/robots.txt		(from )
10:56:54	7703/7703	---M-Z	200	added ('OK')	text/html	etag:%221e17-578078ce569ca-gzip%22	http://www.northsidepulmonary.com/npsm/	C:/Temp/a2/NPSM-Website/www.northsidepulmonary.com/npsm/index.html	(from )
10:56:54	261/261	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Oct%202019%2014:55:48%20GMT	https://northsidepulmonary.com/npsm/css/style.css	C:/Temp/a2/NPSM-Website/northsidepulmonary.com/npsm/css/style.0.delayed	(from http://www.northsidepulmonary.com/npsm/)
10:56:55	17163/17163	---M--	200	added ('OK')	text/css	etag:%22430b-577e4c967607f%22	https://www.northsidepulmonary.com/npsm/css/style.css	C:/Temp/a2/NPSM-Website/www.northsidepulmonary.com/npsm/css/style.css	(from http://www.northsidepulmonary.com/npsm/)
10:56:55	261/261	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Oct%202019%2014:55:49%20GMT	https://northsidepulmonary.com/npsm/js/scripts.js	C:/Temp/a2/NPSM-Website/northsidepulmonary.com/npsm/js/scripts.js	(from http://www.northsidepulmonary.com/npsm/)
10:56:55	6575/6575	---M--	200	added ('OK')	application/javascript	etag:%2219af-577e4c9a0815b%22	https://www.northsidepulmonary.com/npsm/js/scripts.js	C:/Temp/a2/NPSM-Website/www.northsidepulmonary.com/npsm/js/scripts.js	(from http://www.northsidepulmonary.com/npsm/)
10:56:55	6919/6919	---M-Z	200	added ('OK')	text/html	etag:%221b07-5780791100db0-gzip%22	http://www.northsidepulmonary.com/npsm/patientportal/	C:/Temp/a2/NPSM-Website/www.northsidepulmonary.com/npsm/patientportal/index.html	(from http://www.northsidepulmonary.com/npsm/)
10:56:56	6436/6436	---M-Z	200	added ('OK')	text/html	etag:%221924-5780791d01178-gzip%22	http://www.northsidepulmonary.com/npsm/services/	C:/Temp/a2/NPSM-Website/www.northsidepulmonary.com/npsm/services/index.html	(from http://www.northsidepulmonary.com/npsm/)
10:56:56	2606/2606	---M--	200	added ('OK')	image/png	etag:%22a2e-5780791267402%22	http://www.northsidepulmonary.com/npsm/patientportal/PatientPortal.png	C:/Temp/a2/NPSM-Website/www.northsidepulmonary.com/npsm/patientportal/PatientPortal.png	(from http://www.northsidepulmonary.com/npsm/patientportal/)
10:56:56	6636/6636	---M-Z	200	added ('OK')	text/html	etag:%2219ec-5780790bc7f44-gzip%22	http://www.northsidepulmonary.com/npsm/drkumaran/	C:/Temp/a2/NPSM-Website/www.northsidepulmonary.com/npsm/drkumaran/index.html	(from http://www.northsidepulmonary.com/npsm/)
10:56:56	6926/6926	---M-Z	200	added ('OK')	text/html	etag:%221b0e-5780790dfe5ae-gzip%22	http://www.northsidepulmonary.com/npsm/drnayak/	C:/Temp/a2/NPSM-Website/www.northsidepulmonary.com/npsm/drnayak/index.html	(from http://www.northsidepulmonary.com/npsm/)
10:56:57	6787/6787	---M-Z	200	added ('OK')	text/html	etag:%221a83-578078d9c45d8-gzip%22	http://www.northsidepulmonary.com/npsm/forms/	C:/Temp/a2/NPSM-Website/www.northsidepulmonary.com/npsm/forms/index.html	(from http://www.northsidepulmonary.com/npsm/)
10:56:57	7702/7702	---M-Z	200	added ('OK')	text/html	etag:%221e16-578079191ef5f-gzip%22	http://www.northsidepulmonary.com/npsm/questions/	C:/Temp/a2/NPSM-Website/www.northsidepulmonary.com/npsm/questions/index.html	(from http://www.northsidepulmonary.com/npsm/)
10:56:57	16543/16543	---M--	200	added ('OK')	image/jpeg	etag:%22409f-5780790f7b35f%22	http://www.northsidepulmonary.com/npsm/drnayak/UshaNayaksmall.JPG	C:/Temp/a2/NPSM-Website/www.northsidepulmonary.com/npsm/drnayak/UshaNayaksmall.jpg	(from http://www.northsidepulmonary.com/npsm/drnayak/)
10:56:57	7289/7289	---M-Z	200	added ('OK')	text/html	etag:%221c79-578078f1ebe67-gzip%22	http://www.northsidepulmonary.com/npsm/contactus/	C:/Temp/a2/NPSM-Website/www.northsidepulmonary.com/npsm/contactus/index.html	(from http://www.northsidepulmonary.com/npsm/)
10:56:57	6046/6046	---M-Z	200	added ('OK')	text/html	etag:%22179e-57807901581ad-gzip%22	http://www.northsidepulmonary.com/npsm/contactus/CummingLocation/	C:/Temp/a2/NPSM-Website/www.northsidepulmonary.com/npsm/contactus/CummingLocation/index.html	(from http://www.northsidepulmonary.com/npsm/)
10:56:58	6561/6561	---M-Z	200	added ('OK')	text/html	etag:%2219a1-57807906f8854-gzip%22	http://www.northsidepulmonary.com/npsm/contactus/DawsonvilleLocation/	C:/Temp/a2/NPSM-Website/www.northsidepulmonary.com/npsm/contactus/DawsonvilleLocation/index.html	(from http://www.northsidepulmonary.com/npsm/)
10:56:58	3799/3799	---M--	200	added ('OK')	image/jpeg	etag:%22ed7-5780790aa1090%22	http://www.northsidepulmonary.com/npsm/drkumaran/drk_small2.jpg	C:/Temp/a2/NPSM-Website/www.northsidepulmonary.com/npsm/drkumaran/drk_small2.jpg	(from http://www.northsidepulmonary.com/npsm/drkumaran/)
10:56:58	6498/6498	---M-Z	200	added ('OK')	text/html	etag:%221962-578078f897e44-gzip%22	http://www.northsidepulmonary.com/npsm/contactus/BufordLocation/	C:/Temp/a2/NPSM-Website/www.northsidepulmonary.com/npsm/contactus/BufordLocation/index.html	(from http://www.northsidepulmonary.com/npsm/)
10:57:18	122022/122022	---M--	200	added ('OK')	application/pdf	etag:%221dca6-578078e8889a5%22	http://www.northsidepulmonary.com/npsm/forms/rights_and_responsibilities_as_a_patient.pdf	C:/Temp/a2/NPSM-Website/www.northsidepulmonary.com/npsm/forms/rights_and_responsibilities_as_a_patient.pdf	(from http://www.northsidepulmonary.com/npsm/forms/)
10:57:20	130831/130831	---M--	200	added ('OK')	application/pdf	etag:%221ff0f-578078d8504c7%22	http://www.northsidepulmonary.com/npsm/forms/hipaa_privacy.pdf	C:/Temp/a2/NPSM-Website/www.northsidepulmonary.com/npsm/forms/hipaa_privacy.pdf	(from http://www.northsidepulmonary.com/npsm/forms/)
10:57:21	2606/2606	---M--	200	added ('OK')	image/png	etag:%22a2e-578078f458fce%22	http://www.northsidepulmonary.com/npsm/contactus/PatientPortal.png	C:/Temp/a2/NPSM-Website/www.northsidepulmonary.com/npsm/contactus/PatientPortal.png	(from http://www.northsidepulmonary.com/npsm/contactus/)
10:57:28	45327/45327	---M--	200	added ('OK')	image/jpeg	etag:%22b10f-578078ed75553%22	http://www.northsidepulmonary.com/npsm/contactus/DawsonMedicalBuilding.JPG	C:/Temp/a2/NPSM-Website/www.northsidepulmonary.com/npsm/contactus/DawsonMedicalBuilding.jpg	(from http://www.northsidepulmonary.com/npsm/contactus/DawsonvilleLocation/)
10:57:35	114853/114853	---M--	200	added ('OK')	application/pdf	etag:%221c0a5-578078e6f9314%22	http://www.northsidepulmonary.com/npsm/forms/partnership_for_safety.pdf	C:/Temp/a2/NPSM-Website/www.northsidepulmonary.com/npsm/forms/partnership_for_safety.pdf	(from http://www.northsidepulmonary.com/npsm/forms/)
10:59:22	1570076/1570076	---M--	200	added ('OK')	application/pdf	etag:%2217f51c-578078de99a88%22	http://www.northsidepulmonary.com/npsm/forms/medical_recs_release.pdf	C:/Temp/a2/NPSM-Website/www.northsidepulmonary.com/npsm/forms/medical_recs_release.pdf	(from http://www.northsidepulmonary.com/npsm/forms/)
11:01:11	4288134/4288134	---M--	200	added ('OK')	application/pdf	etag:%22416e86-578078e3587d8%22	http://www.northsidepulmonary.com/npsm/forms/new_pt_registration.pdf	C:/Temp/a2/NPSM-Website/www.northsidepulmonary.com/npsm/forms/new_pt_registration.pdf	(from http://www.northsidepulmonary.com/npsm/forms/)
